icd10_ecode,icd10_mechanism,mechanism_count,icd10_intent,icd10_description,icd9_ecode,icd9_ecode_numeric,icd9_intent,icd9_mechanism,icd9_display
W31.89XS,OTHER_NEC,1,UNINTENTIONAL,"Contact with other specified machinery, sequela",E929.8,929.8,UNINTENTIONAL,OTHER_NEC,"E929.8 Late Effect, Other accidents (OTHER_NEC, UNINTENTIONAL)"
T54.94XA,POISONING,1,UNDETERMINED,"Toxic effect of unspecified corrosive substance, undetermined, initial encounter",E980.6,980.6,UNDETERMINED,POISONING,"E980.6 Unknown, Corrosive/caustic substances (POISONING, UNDETERMINED)"
W59.11XD,BITES_STINGS,1,UNINTENTIONAL,"Bitten by nonvenomous snake, subsequent encounter",E906.2,906.2,UNINTENTIONAL,BITES_STINGS,"E906.2 Environmental, Nonvenomous snakes/lizards (BITES_STINGS, UNINTENTIONAL)"
Y38.6X1D,OTHER_SPECIFIED,1,ASSAULT,"Terrorism involving biological weapons, public safety official injured, subsequent encounter",E979.6,979.6,ASSAULT,OTHER_SPECIFIED,"E979.6 Terrorism involving biological weapons (OTHER_SPECIFIED, ASSAULT)"
V09.01XA,PEDESTRIAN_OTHER,1,UNINTENTIONAL,"Pedestrian injured in nontraffic accident involving military vehicle, initial encounter",E822.7,822.7,UNINTENTIONAL,PEDESTRIAN_OTHER,"E822.7 Nontraffic, Collision with moving object, Pedestrian (PEDESTRIAN_OTHER, UNINTENTIONAL)"
T47.5X3S,OTHER_NEC,1,ASSAULT,"Poisoning by digestants, assault, sequela",E969,969,ASSAULT,OTHER_NEC,"E969 Assault, Sequelae > 1 yr after assault (OTHER_NEC, ASSAULT)"
T47.5X5A,ADVERSE_EFFECTS_DRUGS,1,OTHER,"Adverse effect of digestants, initial encounter",E943.4,943.4,OTHER,ADVERSE_EFFECTS_DRUGS,"E943.4 Adverse effects in therapeutic use, Digestants (ADVERSE_EFFECTS_DRUGS, OTHER)"
V43.13XS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Car passenger injured in collision with pick-up in nontraffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
V35.5XXA,MOTOR_VEHICLE_OCCUPANT,1,UNINTENTIONAL,"Driver of three-wheeled motor vehicle injured in collision with railway train or railway vehicle in traffic accident, initial encounter",E810.0,810,UNINTENTIONAL,MOTOR_VEHICLE_OCCUPANT,"E810.0 Traffic, Collision with train, Driver not motorcyclist (MOTOR_VEHICLE_OCCUPANT, UNINTENTIONAL)"
X71.9XXA,DROWNING_SUBMERSION,1,SELF_INFLICTED,"Intentional self-harm by drowning and submersion, unspecified, initial encounter",E954,954,SELF_INFLICTED,DROWNING_SUBMERSION,"E954 Self-Inflicted, Drowning (DROWNING_SUBMERSION, SELF_INFLICTED)"
X98.0XXS,OTHER_NEC,1,ASSAULT,"Assault by steam or hot vapors, sequela",E969,969,ASSAULT,OTHER_NEC,"E969 Assault, Sequelae > 1 yr after assault (OTHER_NEC, ASSAULT)"
V95.23XD,TRANSPORT_OTHER,1,UNINTENTIONAL,"Other private fixed-wing aircraft collision injuring occupant, subsequent encounter",E840.3,840.3,UNINTENTIONAL,TRANSPORT_OTHER,"E840.3 Air, Powered aircraft at takeoff/landing, Commercial occupant (TRANSPORT_OTHER, UNINTENTIONAL)"
V43.72XA,MOTOR_VEHICLE_TRAFFIC,1,UNINTENTIONAL,"Person on outside of car injured in collision with other type car in traffic accident, initial encounter",E812.8,812.8,UNINTENTIONAL,MOTOR_VEHICLE_TRAFFIC,"E812.8 Traffic, Collision with motor vehicle, Other Specified person (MOTOR_VEHICLE_TRAFFIC, UNINTENTIONAL)"
V60.7XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Person on outside of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
V90.27XD,DROWNING_SUBMERSION,1,UNINTENTIONAL,"Drowning and submersion due to falling or jumping from burning water-skis, subsequent encounter",E830.9,830.9,UNINTENTIONAL,DROWNING_SUBMERSION,"E830.9 Water, Submersion, Unspecified person (DROWNING_SUBMERSION, UNINTENTIONAL)"
X79.XXXS,OTHER_NEC,1,SELF_INFLICTED,"Intentional self-harm by blunt object, sequela",E959,959,SELF_INFLICTED,OTHER_NEC,"E959 Self-Inflicted, Late effects (OTHER_NEC, SELF_INFLICTED)"
X80.XXXS,OTHER_NEC,1,SELF_INFLICTED,"Intentional self-harm by jumping from a high place, sequela",E959,959,SELF_INFLICTED,OTHER_NEC,"E959 Self-Inflicted, Late effects (OTHER_NEC, SELF_INFLICTED)"
V27.0XXD,TRANSPORT_OTHER,1,UNINTENTIONAL,"Motorcycle driver injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter",E823.2,823.2,UNINTENTIONAL,TRANSPORT_OTHER,"E823.2 Nontraffic, Collision with stationary object, Motorcyclist (TRANSPORT_OTHER, UNINTENTIONAL)"
V05.11XS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Pedestrian on roller-skates injured in collision with railway train or railway vehicle in traffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
V81.2XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Occupant of railway train or railway vehicle injured in collision with or hit by rolling stock, sequela",E929.1,929.1,UNINTENTIONAL,OTHER_SPECIFIED,"E929.1 Late Effect, Other transport accident (OTHER_SPECIFIED, UNINTENTIONAL)"
T42.6X5S,ADVERSE_EFFECTS_DRUGS,1,OTHER,"Adverse effect of other antiepileptic and sedative-hypnotic drugs, sequela",E936.3,936.3,OTHER,ADVERSE_EFFECTS_DRUGS,"E936.3 Adverse effects in therapeutic use, Other and unspecified anticonvulsants (ADVERSE_EFFECTS_DRUGS, OTHER)"
T42.6X5S,,,,,E937.8,937.8,OTHER,ADVERSE_EFFECTS_DRUGS,"E937.8 Adverse effects in therapeutic use, Other sedatives and hypnotics (ADVERSE_EFFECTS_DRUGS, OTHER)"
V85.1XXA,MOTOR_VEHICLE_OCCUPANT,1,UNINTENTIONAL,"Passenger of special construction vehicle injured in traffic accident, initial encounter",E812.1,812.1,UNINTENTIONAL,MOTOR_VEHICLE_OCCUPANT,"E812.1 Traffic, Collision with motor vehicle, Passenger not motorcyclist (MOTOR_VEHICLE_OCCUPANT, UNINTENTIONAL)"
X31.XXXA,NATURAL_ENVIRONMENTAL,1,UNINTENTIONAL,"Exposure to excessive natural cold, initial encounter",E901.0,901,UNINTENTIONAL,NATURAL_ENVIRONMENTAL,"E901.0 Environmental, Cold due to weather (NATURAL_ENVIRONMENTAL, UNINTENTIONAL)"
X31.XXXA,,,,,E901.9,901.9,UNINTENTIONAL,NATURAL_ENVIRONMENTAL,"E901.9 Environmental, Cold excessive NOS (NATURAL_ENVIRONMENTAL, UNINTENTIONAL)"
Y38.1X1A,OTHER_SPECIFIED,1,ASSAULT,"Terrorism involving destruction of aircraft, public safety official injured, initial encounter",E979.1,979.1,ASSAULT,OTHER_SPECIFIED,"E979.1 Terrorism involving destruction of aircraft (OTHER_SPECIFIED, ASSAULT)"
Y36.810S,OTHER_NEC,1,OTHER,"Explosion of mine placed during war operations but exploding after cessation of hostilities, military personnel, sequela",E999.0,999,OTHER,OTHER_NEC,"E999.0 War, Late effects (OTHER_NEC, OTHER)"
V58.9XXD,MOTOR_VEHICLE_UNSPECIFIED,1,UNINTENTIONAL,"Unspecified occupant of pick-up truck or van injured in noncollision transport accident in traffic accident, subsequent encounter",E816.9,816.9,UNINTENTIONAL,MOTOR_VEHICLE_UNSPECIFIED,"E816.9 Traffic, Loss of control without collision, Unspecified person (MOTOR_VEHICLE_UNSPECIFIED, UNINTENTIONAL)"
T44.6X4S,OTHER_NEC,1,UNDETERMINED,"Poisoning by alpha-adrenoreceptor antagonists, undetermined, sequela",E989,989,UNDETERMINED,OTHER_NEC,"E989 Unknown, Late effects (OTHER_NEC, UNDETERMINED)"
Y37.290S,OTHER_NEC,1,OTHER,"Military operations involving other explosions and fragments, military personnel, sequela",E999.0,999,OTHER,OTHER_NEC,"E999.0 War, Late effects (OTHER_NEC, OTHER)"
Y37.300S,OTHER_NEC,1,OTHER,"Military operations involving unspecified fire, conflagration and hot substance, military personnel, sequela",E999.0,999,OTHER,OTHER_NEC,"E999.0 War, Late effects (OTHER_NEC, OTHER)"
W30.9XXD,MACHINERY,1,UNINTENTIONAL,"Contact with unspecified agricultural machinery, subsequent encounter",E919.0,919,UNINTENTIONAL,MACHINERY,"E919.0 Other, Agricultural machines (MACHINERY, UNINTENTIONAL)"
V14.0XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Pedal cycle driver injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
T36.3X2A,POISONING,1,SELF_INFLICTED,"Poisoning by macrolides, intentional self-harm, initial encounter",E950.4,950.4,SELF_INFLICTED,POISONING,"E950.4 Self-Inflicted, Other specified drugs (POISONING, SELF_INFLICTED)"
V55.5XXD,MOTOR_VEHICLE_OCCUPANT,1,UNINTENTIONAL,"Driver of pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter",E810.0,810,UNINTENTIONAL,MOTOR_VEHICLE_OCCUPANT,"E810.0 Traffic, Collision with train, Driver not motorcyclist (MOTOR_VEHICLE_OCCUPANT, UNINTENTIONAL)"
V64.6XXA,MOTOR_VEHICLE_OCCUPANT,1,UNINTENTIONAL,"Passenger in heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter",E812.1,812.1,UNINTENTIONAL,MOTOR_VEHICLE_OCCUPANT,"E812.1 Traffic, Collision with motor vehicle, Passenger not motorcyclist (MOTOR_VEHICLE_OCCUPANT, UNINTENTIONAL)"
Y37.6X1D,OTHER_SPECIFIED,1,OTHER,"Military operations involving biological weapons, civilian, subsequent encounter",E997.1,997.1,OTHER,OTHER_SPECIFIED,"E997.1 War, Biological warfare (OTHER_SPECIFIED, OTHER)"
V85.6XXD,TRANSPORT_OTHER,1,UNINTENTIONAL,"Passenger of special construction vehicle injured in nontraffic accident, subsequent encounter",E822.1,822.1,UNINTENTIONAL,TRANSPORT_OTHER,"E822.1 Nontraffic, Collision with moving object, Passenger excluding motorcycle (TRANSPORT_OTHER, UNINTENTIONAL)"
V16.9XXA,PEDAL_CYCLIST_OTHER,1,UNINTENTIONAL,"Unspecified pedal cyclist injured in collision with other nonmotor vehicle in traffic accident, initial encounter",E826.9,826.9,UNINTENTIONAL,PEDAL_CYCLIST_OTHER,"E826.9 Other MV, Pedal cycle, Unspecified person (PEDAL_CYCLIST_OTHER, UNINTENTIONAL)"
T15.10XA,OTHER_SPECIFIED,1,UNINTENTIONAL,"Foreign body in conjunctival sac, unspecified eye, initial encounter",E914,914,UNINTENTIONAL,OTHER_SPECIFIED,"E914 Suffocation, Foreign body: eye adnexa (OTHER_SPECIFIED, UNINTENTIONAL)"
Y35.411A,CUT_PIERCE,1,OTHER,"Legal intervention involving bayonet, law enforcement official injured, initial encounter",E974,974,OTHER,CUT_PIERCE,"E974 Legal Intervention, Stabbing (CUT_PIERCE, OTHER)"
W55.81XA,BITES_STINGS,1,UNINTENTIONAL,"Bitten by other mammals, initial encounter",E906.5,906.5,UNINTENTIONAL,BITES_STINGS,"E906.3 Environmental, Other animals excluding arthropods (BITES_STINGS, UNINTENTIONAL)"
W55.81XA,,,,,E906.3,906.3,UNINTENTIONAL,BITES_STINGS,"E906.5 Environmental, Unspecified animal bite (BITES_STINGS, UNINTENTIONAL)"
V96.14XA,TRANSPORT_OTHER,1,UNINTENTIONAL,"Hang-glider fire injuring occupant, initial encounter",E842.6,842.6,UNINTENTIONAL,TRANSPORT_OTHER,"E842.6 Air, Unpowered aircraft, Unpowered aircraft occupant (TRANSPORT_OTHER, UNINTENTIONAL)"
V43.54XS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Car driver injured in collision with van in traffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
V31.6XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Passenger in three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
X37.1XXD,NATURAL_ENVIRONMENTAL,1,UNINTENTIONAL,"Tornado, subsequent encounter",E908.1,908.1,UNINTENTIONAL,NATURAL_ENVIRONMENTAL,"E908.1 Environmental, Cataclysmic storms/floods, Tornado (NATURAL_ENVIRONMENTAL, UNINTENTIONAL)"
Y63.2,ADVERSE_EFFECTS_MED,1,OTHER,Overdose of radiation given during therapy,E873.2,873.2,OTHER,ADVERSE_EFFECTS_MED,"E873.2 Failure in dosage, Overdose of radiation in therapy (ADVERSE_EFFECTS_MED, OTHER)"
W49.9XXA,OTHER_NEC,1,UNINTENTIONAL,"Exposure to other inanimate mechanical forces, initial encounter",E928.8,928.8,UNINTENTIONAL,OTHER_NEC,"E928.8 Other, Other (OTHER_NEC, UNINTENTIONAL)"
T63.611A,BITES_STINGS,1,UNINTENTIONAL,"Toxic effect of contact with Portugese Man-o-war, accidental (unintentional), initial encounter",E905.6,905.6,UNINTENTIONAL,BITES_STINGS,"E905.6 Environmental, Marine animals and plants (BITES_STINGS, UNINTENTIONAL)"
V69.59XD,MOTOR_VEHICLE_OCCUPANT,1,UNINTENTIONAL,"Passenger in heavy transport vehicle injured in collision with other motor vehicles in traffic accident, subsequent encounter",E812.1,812.1,UNINTENTIONAL,MOTOR_VEHICLE_OCCUPANT,"E812.1 Traffic, Collision with motor vehicle, Passenger not motorcyclist (MOTOR_VEHICLE_OCCUPANT, UNINTENTIONAL)"
V69.60XD,MOTOR_VEHICLE_UNSPECIFIED,1,UNINTENTIONAL,"Unspecified occupant of heavy transport vehicle injured in collision with unspecified motor vehicles in traffic accident, subsequent encounter",E812.9,812.9,UNINTENTIONAL,MOTOR_VEHICLE_UNSPECIFIED,"E812.9 Traffic, Collision with motor vehicle, Unspecified person (MOTOR_VEHICLE_UNSPECIFIED, UNINTENTIONAL)"
W99.XXXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Exposure to other man-made environmental factors, sequela",E929.5,929.5,UNINTENTIONAL,OTHER_SPECIFIED,"E929.5 Late Effect, Natural/environmental factors (OTHER_SPECIFIED, UNINTENTIONAL)"
Y92.190,LOCATION,1,,Kitchen in other specified residential institution as the place of occurrence of the external cause,E849.7,849.7,,LOCATION,E849.7 Place of occurrence: Residential institution
W61.33XS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Pecked by chicken, sequela",E929.5,929.5,UNINTENTIONAL,OTHER_SPECIFIED,"E929.5 Late Effect, Natural/environmental factors (OTHER_SPECIFIED, UNINTENTIONAL)"
V37.9XXD,MOTOR_VEHICLE_UNSPECIFIED,1,UNINTENTIONAL,"Unspecified occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object in traffic accident, subsequent encounter",E815.9,815.9,UNINTENTIONAL,MOTOR_VEHICLE_UNSPECIFIED,"E815.9 Traffic, Other collision on a highway, Unspecified person (MOTOR_VEHICLE_UNSPECIFIED, UNINTENTIONAL)"
W22.09XA,STRUCK_BY_AGAINST,1,UNINTENTIONAL,"Striking against other stationary object, initial encounter",E917.4,917.4,UNINTENTIONAL,STRUCK_BY_AGAINST,"E917.4 Other, Other stationary object, without subsequent fall (STRUCK_BY_AGAINST, UNINTENTIONAL)"
W22.10XA,STRUCK_BY_AGAINST,1,UNINTENTIONAL,"Striking against or struck by unspecified automobile airbag, initial encounter",E917.4,917.4,UNINTENTIONAL,STRUCK_BY_AGAINST,"E917.4 Other, Other stationary object, without subsequent fall (STRUCK_BY_AGAINST, UNINTENTIONAL)"
V24.1XXD,TRANSPORT_OTHER,1,UNINTENTIONAL,"Motorcycle passenger injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter",E822.3,822.3,UNINTENTIONAL,TRANSPORT_OTHER,"E822.3 Nontraffic, Collision with moving object, Passenger motorcycle (TRANSPORT_OTHER, UNINTENTIONAL)"
V47.61XD,MOTOR_VEHICLE_OCCUPANT,1,UNINTENTIONAL,"Passenger of sport utility vehicle injured in collision with fixed or stationary object in traffic accident, subsequent encounter",E812.1,812.1,UNINTENTIONAL,MOTOR_VEHICLE_OCCUPANT,"E812.1 Traffic, Collision with motor vehicle, Passenger not motorcyclist (MOTOR_VEHICLE_OCCUPANT, UNINTENTIONAL)"
V85.0XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Driver of special construction vehicle injured in traffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
Y71.8,,0,,"Miscellaneous cardiovascular devices associated with adverse incidents, not elsewhere classified",,-9,,,
T53.4X3A,POISONING,1,ASSAULT,"Toxic effect of dichloromethane, assault, initial encounter",E962.2,962.2,ASSAULT,POISONING,"E962.2 Assault, Other gases and vapors (POISONING, ASSAULT)"
V94.810D,TRANSPORT_OTHER,1,UNINTENTIONAL,"Civilian watercraft involved in water transport accident with military watercraft, subsequent encounter",E838.9,838.9,UNINTENTIONAL,TRANSPORT_OTHER,"E838.9 Water, Other/unspecifed accident, Unspecified person (TRANSPORT_OTHER, UNINTENTIONAL)"
X37.9XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Unspecified cataclysmic storm, sequela",E929.5,929.5,UNINTENTIONAL,OTHER_SPECIFIED,"E929.5 Late Effect, Natural/environmental factors (OTHER_SPECIFIED, UNINTENTIONAL)"
Y37.470S,OTHER_NEC,1,OTHER,"Military operations involving unintentional restriction of air and airway, military personnel, sequela",E999.0,999,OTHER,OTHER_NEC,"E999.0 War, Late effects (OTHER_NEC, OTHER)"
X02.8XXA,FIRE_FLAME,1,UNINTENTIONAL,"Other exposure to controlled fire in building or structure, initial encounter",E895,895,UNINTENTIONAL,FIRE_FLAME,"E895 Fire, Controlled fire private dwelling (FIRE_FLAME, UNINTENTIONAL)"
X02.8XXA,,,,,E896,896,UNINTENTIONAL,FIRE_FLAME,"E896 Fire, Controlled fire other building (FIRE_FLAME, UNINTENTIONAL)"
W27.4XXS,OTHER_NEC,1,UNINTENTIONAL,"Contact with kitchen utensil, sequela",E929.8,929.8,UNINTENTIONAL,OTHER_NEC,"E929.8 Late Effect, Other accidents (OTHER_NEC, UNINTENTIONAL)"
V67.5XXA,MOTOR_VEHICLE_OCCUPANT,1,UNINTENTIONAL,"Driver of heavy transport vehicle injured in collision with fixed or stationary object in traffic accident, initial encounter",E815.0,815,UNINTENTIONAL,MOTOR_VEHICLE_OCCUPANT,"E815.0 Traffic, Other collision on a highway, Driver not motorcyclist (MOTOR_VEHICLE_OCCUPANT, UNINTENTIONAL)"
W18.11XA,FALL,1,UNINTENTIONAL,"Fall from or off toilet without subsequent striking against object, initial encounter",E884.6,884.6,UNINTENTIONAL,FALL,"E884.6 Fall, commode (FALL, UNINTENTIONAL)"
V86.54XA,TRANSPORT_OTHER,1,UNINTENTIONAL,"Driver of military vehicle injured in nontraffic accident, initial encounter",E822.0,822,UNINTENTIONAL,TRANSPORT_OTHER,"E822.0 Nontraffic, Collision with moving object, Driver excluding motorcycle (TRANSPORT_OTHER, UNINTENTIONAL)"
Y36.470S,OTHER_NEC,1,OTHER,"War operations involving unintentional restriction of air and airway, military personnel, sequela",E999.0,999,OTHER,OTHER_NEC,"E999.0 War, Late effects (OTHER_NEC, OTHER)"
Y70.1,,0,,Therapeutic (nonsurgical) and rehabilitative anesthesiology devices associated with adverse incidents,,-9,,,
V23.2XXD,MOTOR_VEHICLE_UNSPECIFIED,1,UNINTENTIONAL,"Unspecified motorcycle rider injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter",E812.9,812.9,UNINTENTIONAL,MOTOR_VEHICLE_UNSPECIFIED,"E812.9 Traffic, Collision with motor vehicle, Unspecified person (MOTOR_VEHICLE_UNSPECIFIED, UNINTENTIONAL)"
Y35.812D,STRUCK_BY_AGAINST,1,OTHER,"Legal intervention involving manhandling, bystander injured, subsequent encounter",E975,975,OTHER,STRUCK_BY_AGAINST,"E975 Legal Intervention, Other specified means (STRUCK_BY_AGAINST, OTHER)"
V56.9XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Unspecified occupant of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
W56.12XS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Struck by sea lion, sequela",E929.5,929.5,UNINTENTIONAL,OTHER_SPECIFIED,"E929.5 Late Effect, Natural/environmental factors (OTHER_SPECIFIED, UNINTENTIONAL)"
V32.6XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Passenger in three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
V90.34XA,DROWNING_SUBMERSION,1,UNINTENTIONAL,"Drowning and submersion due to falling or jumping from crushed sailboat, initial encounter",E830.9,830.9,UNINTENTIONAL,DROWNING_SUBMERSION,"E830.9 Water, Submersion, Unspecified person (DROWNING_SUBMERSION, UNINTENTIONAL)"
V35.4XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Person boarding or alighting a three-wheeled motor vehicle injured in collision with railway train or railway vehicle, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
W53.89XD,NATURAL_ENVIRONMENTAL,1,UNINTENTIONAL,"Other contact with other rodent, subsequent encounter",E906.8,906.8,UNINTENTIONAL,NATURAL_ENVIRONMENTAL,"E906.8 Environmental, Other specified animal injury (NATURAL_ENVIRONMENTAL, UNINTENTIONAL)"
V77.0XXD,TRANSPORT_OTHER,1,UNINTENTIONAL,"Driver of bus injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter",E823.0,823,UNINTENTIONAL,TRANSPORT_OTHER,"E823.0 Nontraffic, Collision with stationary object, Driver excluding motorcycle (TRANSPORT_OTHER, UNINTENTIONAL)"
Y37.051S,OTHER_NEC,1,OTHER,"Military operations involving accidental detonation of onboard marine weapons, civilian, sequela",E999.0,999,OTHER,OTHER_NEC,"E999.0 War, Late effects (OTHER_NEC, OTHER)"
V37.4XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Person boarding or alighting a three-wheeled motor vehicle injured in collision with fixed or stationary object, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
Y36.391D,OTHER_SPECIFIED,1,OTHER,"War operations involving other fires, conflagrations and hot substances, civilian, subsequent encounter",E990.3,990.3,OTHER,OTHER_SPECIFIED,"E990.3 War, fire caused indirectly from conventional weapon (OTHER_SPECIFIED, OTHER)"
X10.0XXD,FIRE_OBJECT_SUBSTANCE,1,UNINTENTIONAL,"Contact with hot drinks, subsequent encounter",E924.0,924,UNINTENTIONAL,FIRE_OBJECT_SUBSTANCE,"E924.0 Other, Hot liquids (FIRE_OBJECT_SUBSTANCE, UNINTENTIONAL)"
V91.26XA,TRANSPORT_OTHER,1,UNINTENTIONAL,"Fall due to collision between (nonpowered) inflatable craft and other watercraft or other object, initial encounter",E831.9,831.9,UNINTENTIONAL,TRANSPORT_OTHER,"E831.9 Water, Other injury, Unspecified person (TRANSPORT_OTHER, UNINTENTIONAL)"
W53.81XS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Bitten by other rodent, sequela",E929.5,929.5,UNINTENTIONAL,OTHER_SPECIFIED,"E929.5 Late Effect, Natural/environmental factors (OTHER_SPECIFIED, UNINTENTIONAL)"
Y36.881D,OTHER_SPECIFIED,1,OTHER,"Other war operations occurring after cessation of hostilities, civilian, subsequent encounter",E998.8,998.8,OTHER,OTHER_SPECIFIED,"E998.8 War, other operations, occurring after cessation of hostilities (OTHER_SPECIFIED, OTHER)"
V01.90XA,PEDESTRIAN_OTHER,1,UNINTENTIONAL,"Pedestrian on foot injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, initial encounter",E826.0,826,UNINTENTIONAL,PEDESTRIAN_OTHER,"E826.0 Other MV, Pedal cycle, Pedestrian (PEDESTRIAN_OTHER, UNINTENTIONAL)"
V90.16XS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Drowning and submersion due to (nonpowered) inflatable craft sinking, sequela",E929.1,929.1,UNINTENTIONAL,OTHER_SPECIFIED,"E929.1 Late Effect, Other transport accident (OTHER_SPECIFIED, UNINTENTIONAL)"
Y93.23,ACTIVITY,1,,"Activity, snow (alpine) (downhill) skiing, snow boarding, sledding, tobogganing and snow tubing",E003.2,3.2,,ACTIVITY,"E003.2 Activity, involving snow (alpine)(downhill), skiing, snow boarding, sledding,tobogganing and snow tubing"
T63.441A,BITES_STINGS,1,UNINTENTIONAL,"Toxic effect of venom of bees, accidental (unintentional), initial encounter",E905.3,905.3,UNINTENTIONAL,BITES_STINGS,"E905.3 Environmental, Hornets wasps bees (BITES_STINGS, UNINTENTIONAL)"
T63.621A,BITES_STINGS,1,UNINTENTIONAL,"Toxic effect of contact with other jellyfish, accidental (unintentional), initial encounter",E905.6,905.6,UNINTENTIONAL,BITES_STINGS,"E905.6 Environmental, Marine animals and plants (BITES_STINGS, UNINTENTIONAL)"
V86.13XA,MOTOR_VEHICLE_OCCUPANT,1,UNINTENTIONAL,"Passenger of dune buggy injured in traffic accident, initial encounter",E815.1,815.1,UNINTENTIONAL,MOTOR_VEHICLE_OCCUPANT,"E815.1 Traffic, Other collision on a highway, Passenger not motorcyclist (MOTOR_VEHICLE_OCCUPANT, UNINTENTIONAL)"
Y36.821A,OTHER_SPECIFIED,1,OTHER,"Explosion of bomb placed during war operations but exploding after cessation of hostilities, civilian, initial encounter",E998.1,998.1,OTHER,OTHER_SPECIFIED,"E998.1 War, occurring after cessation of hostilities by explosion of bombs (OTHER_SPECIFIED, OTHER)"
W93.01XD,NATURAL_ENVIRONMENTAL,1,UNINTENTIONAL,"Contact with dry ice, subsequent encounter",E901.1,901.1,UNINTENTIONAL,NATURAL_ENVIRONMENTAL,"E901.1 Environmental, Cold man-made (NATURAL_ENVIRONMENTAL, UNINTENTIONAL)"
V63.6XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Passenger in heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
Y36.231S,OTHER_NEC,1,OTHER,"War operations involving explosion of improvised explosive device [IED], civilian, sequela",E999.0,999,OTHER,OTHER_NEC,"E999.0 War, Late effects (OTHER_NEC, OTHER)"
